Ano,Unidade Orçamentária,Modalidade de Aplicação,Subfunção,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,50000,50000,50000,50000,50000
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,301 - Atenção Básica,147874,147874,147874,147874,127295
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,306 - Alimentação e Nutrição,111000,111000,102660,102660,102660
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,60480,60480,44605,44605,44605
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,365 - Educação Infantil,24564,24564,19046,19046,19046
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,367 - Educação Especial,10100,10100,10100,10100,10100
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",795318,775318,775170,775170,619179
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,392 - Difusão Cultural,245020,245020,238863,238863,212762
2001,42202 - Fundação Biblioteca Nacional - BN,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,95000,95000,82810,82810,82810
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,122 - Administração Geral,11997110,12922838,12914543,12914543,12441410
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,126 - Tecnologia da Informação,648420,648420,644254,644254,617350
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,181458,181458,179927,179927,158379
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,301 - Atenção Básica,719050,719050,719049,719049,585558
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,306 - Alimentação e Nutrição,415670,415670,415670,415670,400019
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,289590,381590,381590,381590,337433
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,365 - Educação Infantil,110000,110000,110000,110000,110000
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",1439340,1139340,1134797,1134797,843747
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,392 - Difusão Cultural,4809552,5289006,5255660,5255660,4835463
2001,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,"422 - Direitos Individuais, Coletivos e Difusos",96000,96000,96000,96000,96000
2001,42203 - Fundação Cultural Palmares,30 - Transferências a Estados e ao Distrito Federal,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,392340,391840,391840,391840
2001,42203 - Fundação Cultural Palmares,30 - Transferências a Estados e ao Distrito Federal,392 - Difusão Cultural,0,15000,15000,15000,15000
2001,42203 - Fundação Cultural Palmares,40 - Transferências a Municípios,392 - Difusão Cultural,0,21410,21337,21337,21337
2001,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,128 - Formação de Recursos Humanos,0,16120,35120,35120,35120
2001,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",487583,183811,337361,337361,168911
2001,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,392 - Difusão Cultural,0,967609,950152,950152,761078
2001,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,571 - Desenvolvimento Científico,30683,30683,0,0,0
2001,42203 - Fundação Cultural Palmares,72 - Execução Orçamentária Delegada a Consórcios Públicos,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,430100,430100,430100,0
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,122 - Administração Geral,2098670,2434682,2370953,2370953,2141422
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,126 - Tecnologia da Informação,86500,104682,101300,101300,55641
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,60000,43880,23880,23880,436
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,131 - Comunicação Social,10000,10000,10000,10000,10000
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,301 - Atenção Básica,64025,64025,28631,28631,20974
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,306 - Alimentação e Nutrição,40000,40000,31459,31459,31459
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,25000,25000,14827,14827,14827
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,365 - Educação Infantil,11400,11400,11177,11177,11177
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",2063809,1621047,706537,706537,636544
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,392 - Difusão Cultural,1186016,898397,833894,833894,596442
2001,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,571 - Desenvolvimento Científico,43624,43624,74307,74307,72894
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,171468,171468,171468,88023
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,214400,324896,324601,324601,223191
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,122 - Administração Geral,35551520,38922105,38145675,38145675,37384295
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,125 - Normatização e Fiscalização,541750,541750,541750,541750,479999
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,126 - Tecnologia da Informação,718984,840700,839359,839359,400164
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,203300,203300,203300,203300,184615
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,301 - Atenção Básica,2175865,2209000,2209000,2209000,1947211
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,306 - Alimentação e Nutrição,1384910,1174910,1162023,1162023,1162023
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,851882,921882,921882,921882,921882
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,365 - Educação Infantil,370360,230360,216728,216728,216728
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",9560957,11336827,11218569,11218569,7184162
2001,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,392 - Difusão Cultural,362400,362400,362369,362369,187369
